id,datatime,temperature,ph,od,ce,tds,s,opr,position
0,2020-07-31 10:02:49.576253-04,17.062,6.997000000000001,0.0,139.4,75,0.0,1020.0,"{'lat': -25.3080784, 'lon': -57.3089882, 'alt': 0.007, 'yaw': 1.268268346786499}"
1,2020-07-31 10:03:01.434884-04,17.062,6.996,0.0,139.8,75,0.0,1020.0,"{'lat': -25.3079363, 'lon': -57.309062, 'alt': 0.027, 'yaw': 1.292271375656128}"
2,2020-07-31 10:03:13.389064-04,17.062,6.997000000000001,0.0,139.4,75,0.0,1020.0,"{'lat': -25.3077949, 'lon': -57.3091294, 'alt': 0.0, 'yaw': 1.332841396331787}"
3,2020-07-31 10:03:25.302225-04,17.062,6.994,0.0,140.0,75,0.0,1020.0,"{'lat': -25.3076496, 'lon': -57.3091906, 'alt': 0.021, 'yaw': 1.301130771636963}"
4,2020-07-31 10:03:37.206686-04,17.125,6.997999999999999,0.0,140.6,75,0.0,1020.0,"{'lat': -25.3075126, 'lon': -57.3092379, 'alt': 0.007, 'yaw': 1.2761367559432983}"
5,2020-07-31 10:03:49.132832-04,17.125,6.997999999999999,0.0,137.4,74,0.0,1020.0,"{'lat': -25.3073487, 'lon': -57.3092779, 'alt': -0.009, 'yaw': 1.2294104099273682}"
6,2020-07-31 10:04:01.042308-04,17.062,6.997000000000001,0.0,137.7,74,0.0,1020.0,"{'lat': -25.3071899, 'lon': -57.3093343, 'alt': -0.025, 'yaw': 1.225642204284668}"
7,2020-07-31 10:04:12.959451-04,17.062,6.997999999999999,0.0,139.7,75,0.0,1020.0,"{'lat': -25.307028, 'lon': -57.3093909, 'alt': 0.002, 'yaw': 1.2299742698669434}"
8,2020-07-31 10:13:06.030413-04,17.5,6.996,0.0,145.5,78,0.0,1020.0,"{'lat': -25.3006786, 'lon': -57.3109259, 'alt': 0.0, 'yaw': 1.0713086128234863}"
9,2020-07-31 10:13:17.951187-04,17.5,7.0,0.0,145.8,78,0.0,1020.0,"{'lat': -25.3005373, 'lon': -57.3109948, 'alt': -0.004, 'yaw': 1.1354007720947266}"
